D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4250.0,640.9,20,68300.0,32,56000.0,2,3500.0,0.0,0.0,0.0,168000.0,12192.0,2.0,0.26,1.25,0.26,0.58,0.58,0.66,0.49,0.74,,,,1.0,1.0,0.0,0,5,0.05,2.2,,,16.7,3544984.0,972750.0,4095.0,149.75,2800.0,2800.0,1
1979,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2081.64,319.48,15,24800.0,26,53600.0,5,5000.0,845640.0,0.0,0.0,1025875.0,0.0,4.0,0.24,1.25,0.24,0.56,0.56,0.6,0.78,1.3,,,,1.0,0.0,0.0,4,5,1.26,4.9,,,14.05,1627000.0,624600.0,2082.0,171.75,2800.0,2800.0,0
1970,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,914.0,,0,0.0,20,36150.0,0,0.0,0.0,0.0,0.0,36000.0,0.0,3.0,0.29,1.25,0.29,0.51,0.36,0.72,0.6,0.83,,,,1.0,1.0,1.0,0,4,0.07,8.0,,,14.0,831750.0,274368.0,914.56,150.0,2800.0,2800.0,1
1980,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2828.0,0.0,0,0.0,54,85050.0,0,0.0,0.0,216000.0,0.0,234000.0,18000.0,4.0,0.24,1.25,0.24,0.67,0.67,0.6,0.78,1.3,,,,1.0,1.0,0.0,0,15,0.23,7.0,,,1050.0,2366925.0,707002.5,2828.01,92.67,2800.0,2800.0,1
1995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,519.2,,0,0.0,16,19200.0,3,2880.0,0.0,2352.0,0.0,48240.0,0.0,3.0,0.31,1.25,0.31,0.22,0.22,0.77,0.64,0.83,,,,1.0,1.0,0.0,0,2,0.21,0.0,,,7.2,463400.0,77220.0,514.8,184.0,2800.0,2800.0,1
1975,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,534.59,0.0,0,0.0,10,14000.0,1,1400.0,0.0,0.0,0.0,52320.0,0.0,3.0,0.31,1.25,0.31,0.3,0.3,0.77,0.64,0.83,,,,1.0,1.0,1.0,0,3,0.14,3.6,,,10.8,517620.0,165640.0,621.15,195.1,2800.0,2800.0,1
1986,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,643.5,,0,0.0,20,35000.0,8,14000.0,0.0,0.0,0.0,0.0,0.0,3.0,0.31,1.25,,0.41,0.41,0.78,0.67,0.86,,,,1.0,0.0,0.0,0,3,,,,,11.0,590950.0,173734.0,950.6,192.11,2800.0,2800.0,0
1993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1508.37,,5,14045.0,28,50000.0,2,2160.0,33600.0,0.0,0.0,84000.0,0.0,2.0,0.29,1.25,0.29,0.43,0.43,0.72,0.57,0.79,,,,1.0,1.0,1.0,0,12,0.17,4.0,,,11.25,1546350.0,439236.5,1508.37,210.0,2800.0,2800.0,0
1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,289.0,0.0,0,0.0,16,20000.0,0,0.0,11437.0,32344.0,0.0,18425.0,18519.0,2.0,0.28,1.25,0.28,0.29,0.29,0.7,0.52,0.74,,,,1.0,1.0,1.0,0,2,0.03,2.0,,,6.55,358796.0,59400.0,297.0,194.5,2800.0,2800.0,0
1997,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4426.95,,0,0.0,64,485624.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.28,1.25,,0.47,0.47,,,,,,,2.0,2.0,2.0,0,4,,,,,15.43,5369020.0,1106737.5,4426.95,210.0,2800.0,2800.0,1
